,pos,reads_all,matches,mismatches,deletions,insertions
1,280,8045,7995,48,19,9
2,281,8045,7983,50,16,5
3,282,8049,7510,505,33,65
4,283,8042,7786,155,115,62
5,284,8048,7094,104,864,241
17,296,8039,4870,1883,1308,50
19,298,8047,5939,769,1345,12
20,299,8043,6284,728,1053,60
21,300,8049,6722,862,468,64
22,301,8050,6135,1395,516,51
25,304,8051,5310,1492,1248,63
26,305,8048,5360,1054,1641,36
32,311,8051,5029,1479,1558,90
33,312,8051,4745,1766,1556,159
34,313,8054,5037,1337,1687,66
41,320,8052,6290,584,1194,18
42,321,8059,6471,748,839,53
43,322,8053,7298,451,315,243
44,323,8054,6753,996,315,78
45,324,8052,6893,667,508,49
49,328,8059,4922,983,2163,197
53,332,8057,5381,1619,1066,88
54,333,8053,6251,949,868,25
55,334,8057,6850,544,675,6
56,335,8054,7341,259,459,26
57,336,8061,7278,367,423,3
58,337,8056,7542,471,58,7
59,338,8061,7967,62,29,5
60,339,8062,8002,48,14,3
61,340,8061,7918,146,16,4
62,341,8059,7869,192,2,4
